D 2019-08-22 23:37:03.96 00:00:00.00 HA      900_226001567491 A3    1     2
D 2019-08-22 23:51:47.85 00:00:00.00 HA      900_226001567365 A3    1  2924
D 2019-08-22 23:51:48.46 00:00:00.00 HA      900_226001567365 A3    1     1
D 2019-08-22 23:52:05.39 00:00:00.00 HA      900_226001567365 A3    1    55
D 2019-08-22 23:52:07.21 00:00:00.00 HA      900_226001567365 A3    1     5
D 2019-08-22 23:52:07.81 00:00:00.00 HA      900_226001567365 A3    1     1
D 2019-08-22 23:52:08.42 00:00:00.00 HA      900_226001567365 A3    1     1
D 2019-08-22 23:58:36.39 00:00:00.00 HA      900_226001567365 A3    1  1283
D 2019-08-22 23:58:37.30 00:00:00.30 HA      900_226001567365 A3    2     2
D 2019-08-22 23:58:38.21 00:00:00.00 HA      900_226001567365 A3    1     1
D 2019-08-22 23:58:51.21 00:00:00.30 HA      900_226001567365 A3    2    42
D 2019-08-22 23:58:53.03 00:00:00.00 HA      900_226001567365 A3    1     4
D 2019-08-22 23:58:54.24 00:00:00.30 HA      900_226001567365 A3    2     3
D 2019-08-23 00:00:28.92 00:00:00.00 HA      900_226001567494 A1    1 12881
D 2019-08-23 00:00:30.14 00:00:00.00 HA      900_226001567494 A1    1     3
D 2019-08-23 00:00:30.74 00:00:00.32 HA      900_226001567494 A1    2     1
D 2019-08-23 00:00:36.20 00:00:00.30 HA      900_226001567494 A1    2    16
D 2019-08-23 00:11:15.22 00:00:00.91 HA      900_226001567491 A3    4  2450
D 2019-08-23 00:11:16.73 00:00:00.31 HA      900_226001567491 A3    2     1
D 2019-08-23 00:11:17.94 00:00:00.00 HA      900_226001567491 A3    1     2
D 2019-08-23 00:11:19.15 00:00:00.00 HA      900_226001567491 A3    1     3
D 2019-08-23 00:11:20.97 00:00:00.30 HA      900_226001567491 A3    2     5
D 2019-08-23 00:11:23.78 00:00:00.00 HA      900_226001567491 A3    1     4
D 2019-08-23 00:11:24.59 00:00:00.30 HA      900_226001567491 A3    2     5
D 2019-08-23 00:11:27.62 00:00:00.00 HA      900_226001567491 A3    1     8
D 2019-08-23 00:11:30.05 00:00:00.00 HA      900_226001567491 A3    1     7
D 2019-08-23 00:11:30.95 00:00:00.00 HA      900_226001567491 A3    1     2
D 2019-08-23 00:11:32.17 00:00:00.00 HA      900_226001567491 A3    1     3
D 2019-08-23 00:11:34.89 00:00:00.00 HA      900_226001567491 A3    1     8
D 2019-08-23 00:11:39.72 00:00:00.00 HA      900_226001567491 A3    1    15
D 2019-08-23 00:11:41.85 00:00:00.31 HA      900_226001567491 A3    2     6
D 2019-08-23 00:11:43.36 00:00:00.00 HA      900_226001567491 A3    1     3
D 2019-08-23 00:11:44.27 00:00:00.00 HA      900_226001567491 A3    1     2
D 2019-08-23 00:11:47.30 00:00:00.00 HA      900_226001567491 A3    1     9
D 2019-08-23 00:11:55.46 00:00:00.00 HA      900_226001567491 A3    1    26
D 2019-08-23 00:11:57.59 00:00:00.00 HA      900_226001567491 A3    1     6
D 2019-08-23 00:11:58.49 00:00:00.00 HA      900_226001567491 A3    1     2
D 2019-08-23 00:11:59.70 00:00:00.00 HA      900_226001567491 A3    1     3
D 2019-08-23 00:12:01.22 00:00:00.30 HA      900_226001567491 A3    2     4
D 2019-08-23 00:12:07.58 00:00:00.00 HA      900_226001567491 A3    1    19
D 2019-08-23 00:15:15.52 00:00:00.00 HA      900_226001567491 A3    1   621
D 2019-08-23 00:15:17.05 00:00:00.00 HA      900_226001567491 A3    1     4
D 2019-08-23 00:15:19.16 00:00:00.00 HA      900_226001567491 A3    1     6
D 2019-08-23 00:15:19.76 00:00:00.00 HA      900_226001567491 A3    1     1
D 2019-08-23 00:15:20.37 00:00:00.00 HA      900_226001567491 A3    1     1
D 2019-08-23 00:15:21.28 00:00:00.00 HA      900_226001567491 A3    1     2
D 2019-08-23 00:15:22.79 00:00:00.31 HA      900_226001567491 A3    2     4
D 2019-08-23 00:15:24.60 00:00:00.00 HA      900_226001567491 A3    1     4
D 2019-08-23 00:15:26.13 00:00:00.00 HA      900_226001567491 A3    1     4
D 2019-08-23 00:15:26.73 00:00:00.00 HA      900_226001567491 A3    1     1
D 2019-08-23 00:15:27.93 00:00:00.00 HA      900_226001567491 A3    1     3
D 2019-08-23 00:15:29.46 00:00:00.00 HA      900_226001567491 A3    1     4
D 2019-08-23 00:15:30.36 00:00:00.00 HA      900_226001567491 A3    1     2
D 2019-08-23 00:51:17.88 00:00:00.00 HA      900_226001567494 A3    1  7106
D 2019-08-23 00:51:18.49 00:00:00.61 HA      900_226001567494 A3    3     1
D 2019-08-23 00:51:19.70 00:00:00.00 HA      900_226001567494 A3    1     1
D 2019-08-23 00:51:26.35 00:00:00.00 HA      900_226001567494 A3    1    21
D 2019-08-23 00:51:26.95 00:00:00.00 HA      900_226001567494 A3    1     1
D 2019-08-23 00:51:27.56 00:00:00.00 HA      900_226001567494 A3    1     1
D 2019-08-23 00:51:28.17 00:00:00.00 HA      900_226001567494 A3    1     1
D 2019-08-23 01:02:35.77 00:00:00.31 HA      900_226001567496 A1    2 12307
D 2019-08-23 01:02:38.50 00:00:00.00 HA      900_226001567496 A1    1     7
D 2019-08-23 01:02:39.71 00:00:00.00 HA      900_226001567496 A1    1     3
D 2019-08-23 01:02:43.65 00:00:00.00 HA      900_226001567496 A1    1    12
D 2019-08-23 01:02:45.85 00:00:00.00 HA      900_226001567496 A1    1     3
D 2019-08-23 01:02:45.46 00:00:00.00 HA      900_226001567496 A1    1     1
D 2019-08-23 01:03:02.59 00:00:00.00 HA      900_226001567494 A3    1  2297
D 2019-08-23 01:03:04.11 00:00:00.00 HA      900_226001567494 A3    1     4
D 2019-08-23 01:03:07.74 00:00:00.31 HA      900_226001567494 A3    2    11
D 2019-08-23 01:03:08.95 00:00:00.00 HA      900_226001567494 A3    1     2
D 2019-08-23 01:03:13.48 00:00:00.30 HA      900_226001567494 A3    2    14
D 2019-08-23 01:50:50.17 00:00:00.30 HA      900_226001567494 A3    2  9452
D 2019-08-23 01:50:57.42 00:00:00.00 HA      900_226001567494 A3    1    22
D 2019-08-23 02:04:58.70 00:00:01.20 HA      900_226001567491 A3    5  2783
D 2019-08-23 02:05:00.51 00:00:00.92 HA      900_226001567491 A3    4     1
D 2019-08-23 02:05:03.24 00:00:00.00 HA      900_226001567491 A3    1     5
D 2019-08-23 02:05:04.45 00:00:00.00 HA      900_226001567491 A3    1     3
D 2019-08-23 02:05:05.97 00:00:00.90 HA      900_226001567491 A3    4     4
D 2019-08-23 02:05:08.39 00:00:00.00 HA      900_226001567491 A3    1     4
D 2019-08-23 02:05:08.99 00:00:00.61 HA      900_226001567491 A3    3     1
D 2019-08-23 02:05:11.81 00:00:00.00 HA      900_226001567491 A3    1     3
D 2019-08-23 02:23:29.28 00:00:00.00 HA      900_226001567494 A1    1 16029
D 2019-08-23 02:23:30.78 00:00:00.00 HA      900_226001567494 A1    1     4
D 2019-08-23 02:23:34.41 00:00:00.62 HA      900_226001567494 A1    3    11
D 2019-08-23 02:35:46.86 00:00:00.00 HA      900_226001567496 A1    1  2421
D 2019-08-23 02:35:47.76 00:00:00.00 HA      900_226001567496 A1    1     2
D 2019-08-23 02:35:51.10 00:00:00.30 HA      900_226001567496 A1    2    10
D 2019-08-23 02:57:55.98 00:00:00.00 HA      900_226001567365 A3    1 10474
D 2019-08-23 02:57:58.70 00:00:00.60 HA      900_226001567365 A3    3     8
D 2019-08-23 02:58:00.81 00:00:00.62 HA      900_226001567365 A3    3     4
D 2019-08-23 03:16:26.91 00:00:00.90 HA      900_226001567494 A2    4     .
D 2019-08-23 03:16:32.96 00:00:00.00 HA      900_226001567494 A2    1    16
D 2019-08-23 03:16:33.56 00:00:00.91 HA      900_226001567494 A2    4     1
D 2019-08-23 03:33:44.95 00:00:00.00 HA      900_226001567491 A3    1  7093
D 2019-08-23 03:52:56.08 00:00:00.60 HA      900_226001567494 A3    3  3809
D 2019-08-23 03:52:58.58 00:00:00.00 HA      900_226001567494 A3    1     2
D 2019-08-23 03:53:05.75 00:00:00.00 HA      900_226001567494 A3    1    26
D 2019-08-23 03:56:11.26 00:00:00.30 HA      900_226001567494 A3    2   613
D 2019-08-23 03:56:12.17 00:00:01.60 HA      900_226001567494 A3    3     1
D 2019-08-23 03:56:13.38 00:00:00.00 HA      900_226001567494 A3    1     1
D 2019-08-23 03:56:20.63 00:00:00.00 HA      900_226001567494 A3    1    23
D 2019-08-23 03:56:30.31 00:00:00.30 HA      900_226001567494 A3    2    31
D 2019-08-23 03:56:32.13 00:00:00.00 HA      900_226001567494 A3    1     4
D 2019-08-23 04:04:55.34 00:00:00.00 HA      900_226001567496 A2    1  9600
D 2019-08-23 04:04:57.16 00:00:01.51 HA      900_226001567496 A2    6     5
D 2019-08-23 04:09:28.77 00:00:00.00 HA      900_226001567491 A2    1   893
D 2019-08-23 04:26:31.88 00:00:00.00 HA      900_226001567332 A3    1  5956
D 2019-08-23 04:26:32.48 00:00:00.00 HA      900_226001567332 A3    1     1
D 2019-08-23 04:26:36.42 00:00:00.00 HA      900_226001567332 A3    1    12
D 2019-08-23 04:26:37.33 00:00:00.00 HA      900_226001567332 A3    1     2
D 2019-08-23 06:28:17.03 00:00:00.00 HA      900_226001567365 A2    1 27568
D 2019-08-23 06:28:17.63 00:00:00.00 HA      900_226001567365 A2    1     1
D 2019-08-23 06:28:18.53 00:00:00.61 HA      900_226001567365 A2    3     2
D 2019-08-23 06:28:20.06 00:00:00.00 HA      900_226001567365 A2    1     2
D 2019-08-23 06:28:24.89 00:00:00.90 HA      900_226001567365 A2    4    15
D 2019-08-23 06:40:19.24 00:00:00.00 HA      900_226001567311 A2    1  2361
D 2019-08-23 06:40:19.84 00:00:01.82 HA      900_226001567311 A2    7     1
D 2019-08-23 06:40:22.26 00:00:03.03 HA      900_226001567311 A2   11     1
D 2019-08-23 06:40:25.89 00:00:00.00 HA      900_226001567311 A2    1     1
D 2019-08-23 06:40:27.71 00:00:00.00 HA      900_226001567311 A2    1     5
D 2019-08-23 06:40:28.62 00:00:00.31 HA      900_226001567311 A2    2     2
D 2019-08-23 06:40:30.44 00:00:00.00 HA      900_226001567311 A2    1     4
D 2019-08-23 06:40:32.95 00:00:00.00 HA      900_226001567311 A2    1     4
D 2019-08-23 06:40:32.85 00:00:00.61 HA      900_226001567311 A2    3     2
D 2019-08-23 07:01:50.90 00:00:00.00 HA      900_226001567365 A3    1 30831
D 2019-08-23 07:02:58.78 00:00:00.91 HA      900_226001567365 A2    4  4453
D 2019-08-23 07:03:02.80 00:00:00.21 HA      900_226001567365 A2    5     6
D 2019-08-23 07:05:42.79 00:00:00.00 HA      900_226001567365 A2    1   528
D 2019-08-23 07:05:45.21 00:00:00.00 HA      900_226001567365 A2    1     7
D 2019-08-23 07:05:46.13 00:00:00.00 HA      900_226001567365 A2    1     2
D 2019-08-23 07:05:46.73 00:00:00.00 HA      900_226001567365 A2    1     1
D 2019-08-23 07:05:47.34 00:00:00.60 HA      900_226001567365 A2    3     1
