Lake,Full PIT,PIT,Length,Sex,Section,
Parley,9.00E+14,497634,390,M,Mud,
,,,,,,
Parley,9.00E+14,497665,761,F,Mud,
,,,,,,
Parley,9.00E+14,497642,368,F,Mud,
,,,,,,
Parley,9.00E+14,497777,,,Mud,recap?
,,,,,,
Parley,9.00E+14,497676,699,F,Mud,
,,,,,,
Parley,9.00E+14,497664,690,F,Mud,
,,,,,,
Parley,9.00E+14,497660,682,M,Mud,
,,,,,,
Parley,9.00E+14,497670,385,F,Mud,
,,,,,,
Parley,9.00E+14,497651,709,M,Mud,
,,,,,,
Parley,9.82E+14,775238,840,F,Mud,the one that was radio tagged or floy tagged
,,,,,,
Parley,9.82E+14,775197,391,M,Mud,
,,,,,,
Parley,9.00E+14,497671,703,M,Mud,
,,,,,,
Parley,9.00E+14,497640,705,M,Mud,
,,,,,,
Parley,9.82E+14,775168,712,M,Mud,
,,,,,,
Parley,9.00E+14,497678,390,U,Mud,
,,,,,,
Parley,9.82E+14,775177,750,M,Mud,
,,,,,,
Parley,9.00E+14,497663,720,F,Mud,WEIRD SPINE
,,,,,,
Parley,9.00E+14,497603,712,M,Mud,
,,,,,,
Parley,9.00E+14,497696,382,U,Mud,
,,,,,,
Parley,9.82E+14,775243,367,U,Mud,
,,,,,,
Parley,9.82E+14,775238,660,M,Mud,
,,,,,,
Parley,9.82E+14,775201,375,M,Mud,
,,,,,,
Parley,9.00E+14,497680,648,M,Mud,
,,,,,,
Parley,9.00E+14,497612,709,M,Mud,
,,,,,,
Parley,9.82E+14,775202,372,M,Mud,
,,,,,,
Parley,9.82E+14,775174,395,F,Mud,
,,,,,,
Parley,9.82E+14,775230,708,M,"N,NE",
,,,,,,
Parley,9.82E+14,775193,674,F,"N,NE",
,,,,,,
Parley,9.82E+14,775204,724,M,"N,NE",
,,,,,,
Parley,9.82E+14,775213,686,F,"N,NE",
,,,,,,
Parley,9.82E+14,775249,615,M,"N,NE",
,,,,,,
Parley,9.82E+14,775241,650,F,"N,NE",
,,,,,,
Parley,9.82E+14,775186,540,F,"N,NE",
,,,,,,
Parley,9.82E+14,775196,590,M,"N,NE",
,,,,,,
Parley,9.82E+14,775182,683,F,"N,NE",
,,,,,,
Parley,9.82E+14,775169,712,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,775225,547,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,775188,730,F,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,775222,748,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.00E+14,497806,,,"ROD, SOUTH BAY",RECAP
,,,,,,
Parley,9.82E+14,775219,703,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,775180,575,F,"ROD, SOUTH BAY",
,,,,,,
Parley,9.00E+14,38320,700,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778336,726,F,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778377,701,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778393,790,F,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778311,346,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,777831,,,"ROD, SOUTH BAY",RECAP
,,,,,,
Parley,9.82E+14,778369,715,F,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778335,740,F,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778362,840,F,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778301,362,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778325,555,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778391,527,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778308,690,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778353,362,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778387,664,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778351,710,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778300,690,F,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778304,664,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778324,573,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778330,361,M,"ROD, SOUTH BAY",
,,,,,,
Parley,9.82E+14,778346,620,F,"ROD, SOUTH BAY",
,,,,,,
Parley,9.00E+14,497638,655,F,ROD,
,,,,,,
Parley,9.00E+14,497626,660,M,ROD,
,,,,,,
Parley,9.00E+14,497627,675,M,ROD,
,,,,,,
Parley,9.00E+14,497661,690,M,ROD,
,,,,,,
Parley,9.00E+14,497610,682,M,ROD,
,,,,,,
Parley,9.00E+14,497675,687,F,ROD,
,,,,,,
Parley,9.00E+14,497648,700,M,ROD,
,,,,,,
Parley,9.00E+14,497632,645,F,ROD,
,,,,,,
Parley,9.00E+14,497624,345,M,ROD,
,,,,,,
Parley,9.00E+14,497633,368,M,ROD,
,,,,,,
Parley,9.00E+14,497617,374,M,ROD,
,,,,,,
Parley,9.00E+14,497637,720,F,ROD,
,,,,,,
Parley,9.00E+14,497618,620,M,ROD,
,,,,,,
Parley,9.00E+14,497654,720,F,ROD,
,,,,,,
Parley,9.00E+14,497604,680,M,ROD,
,,,,,,
Parley,9.00E+14,497677,630,M,ROD,
,,,,,,
Parley,9.00E+14,497631,680,F,ROD,
,,,,,,
Parley,9.00E+14,497614,590,F,ROD,
,,,,,,
Parley,9.00E+14,497831,Recap,,ROD,Recap
,,,,,,
Parley,9.00E+14,497681,630,M,ROD,
,,,,,,
Parley,9.00E+14,497644,705,F,ROD,
,,,,,,
Parley,9.00E+14,497679,739,M,ROD,
,,,,,,
Parley,9.00E+14,497645,660,F,ROD,
,,,,,,
Parley,9.00E+14,497662,652,M,ROD,
,,,,,,
Parley,9.00E+14,497606,730,F,ROD,
,,,,,,
Parley,9.00E+14,497698,647,M,ROD,
,,,,,,
Parley,9.00E+14,497659,349,F,ROD,
,,,,,,
Parley,9.00E+14,497635,645,M,ROD,
,,,,,,
Parley,9.00E+14,497778,640,M,ROD,
,,,,,,
Parley,9.00E+14,497608,575,M,ROD,
,,,,,,
Parley,9.00E+14,497607,635,M,ROD,
,,,,,,
Parley,9.00E+14,497668,388,F,ROD,
,,,,,,
Parley,9.00E+14,497699,645,M,ROD,
,,,,,,
Parley,9.00E+14,497673,660,M,ROD,
,,,,,,
Parley,9.00E+14,497689,715,M,ROD,
,,,,,,
Parley,9.00E+14,497666,625,M,ROD,
,,,,,,
Parley,9.00E+14,497611,365,M,ROD,
,,,,,,
Parley,9.00E+14,497623,550,M,ROD,
,,,,,,
Parley,9.00E+14,497682,652,M,ROD,
,,,,,,
Parley,9.00E+14,497629,682,M,ROD,
,,,,,,
Parley,9.00E+14,497686,670,M,ROD,
,,,,,,
Parley,9.00E+14,497690,660,M,ROD,
,,,,,,
Parley,9.00E+14,497643,625,F,ROD,
,,,,,,
Parley,9.00E+14,498370,635,F,ROD,
,,,,,,
Parley,9.00E+14,497658,690,F,ROD,
,,,,,,
Parley,9.00E+14,497613,650,M,ROD,
,,,,,,
Parley,9.00E+14,497650,770,F,ROD,
,,,,,,
Parley,9.00E+14,497600,615,F,ROD,
,,,,,,
Parley,9.00E+14,497667,670,M,ROD,
,,,,,,
Parley,9.00E+14,497601,,F,ROD,
,,,,,,
Parley,9.00E+14,497988,,M,ROD,Recapture
,,,,,,
Parley,9.00E+14,497641,,F,ROD,
,,,,,,
Parley,9.00E+14,497687,,F,ROD,
,,,,,,
Parley,9.00E+14,497639,,M,ROD,
,,,,,,
Parley,9.00E+14,497692,,M,ROD,
,,,,,,
Parley,9.82E+14,775172,,F,ROD,
,,,,,,
Parley,9.82E+14,775199,,M,ROD,
,,,,,,
Parley,9.82E+14,775235,,M,ROD,
,,,,,,
Parley,9.82E+14,775181,,M,ROD,
,,,,,,
Parley,9.82E+14,775215,,F,ROD,
,,,,,,
Halsteds,9.82E+14,778390,705,M,E shore,
,,,,,,
Halsteds,9.82E+14,778349,663,M,E shore,
,,,,,,
Halsteds,9.82E+14,778328,690,F,E shore,
,,,,,,
Halsteds,9.82E+14,778382,563,M,E shore,
,,,,,,
Halsteds,9.82E+14,778337,663,F,E shore,
,,,,,,
Halsteds,9.82E+14,778318,706,M,E shore,
,,,,,,
Halsteds,9.82E+14,778376,703,M,E shore,
,,,,,,
Halsteds,9.82E+14,778380,595,M,E shore,
,,,,,,
Halsteds,9.82E+14,778344,666,M,E shore,
,,,,,,
Halsteds,9.82E+14,778359,714,F,E shore,
,,,,,,
Halsteds,9.82E+14,778343,706,M,E shore,
,,,,,,
Halsteds,9.82E+14,778395,760,F,E shore,
,,,,,,
Halsteds,9.82E+14,778310,382,F,E shore,
,,,,,,
Halsteds,9.82E+14,778334,660,M,E shore,
,,,,,,
Halsteds,9.82E+14,778313,367,M,E shore,
,,,,,,
Halsteds,9.82E+14,778363,688,F,E shore,
,,,,,,
Halsteds,9.82E+14,778340,706,M,E shore,
,,,,,,
Halsteds,9.82E+14,778323,36,M,E shore,
,,,,,,
Halsteds,9.82E+14,778360,595,M,E shore,
,,,,,,
Halsteds,9.82E+14,778365,704,F,E shore,
,,,,,,
Halsteds,9.82E+14,778302,670,M,E shore,
,,,,,,
Halsteds,9.82E+14,778394,662,M,E shore,
,,,,,,
Halsteds,9.82E+14,779303,546,M,E shore,
,,,,,,
Halsteds,9.82E+14,778331,585,F,LOL,
,,,,,,
Halsteds,9.00E+14,497667,,,LOL,recap
,,,,,,
Halsteds,9.82E+14,778381,685,F,LOL,
,,,,,,
Halsteds,9.82E+14,778388,719,F,LOL,
,,,,,,
Halsteds,9.82E+14,778375,613,U,LOL,
,,,,,,
Halsteds,9.82E+14,778361,545,M,LOL,
,,,,,,
Halsteds,9.82E+14,778307,394,F,LOL,
,,,,,,
Halsteds,9.82E+14,777333,760,U,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777359,770,F,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777335,712,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777314,375,U,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777388,360,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777373,711,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777490,722,F,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777381,518,F,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777361,690,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777307,756,F,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777295,597,F,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777475,640,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777498,678,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777392,659,F,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777401,700,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777454,385,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777323,611,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777417,668,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777456,660,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777001,,,Middleweedbed,tagged?
,,,,,,
Halsteds,9.82E+14,777309,671,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777293,567,M,SW shore,
,,,,,,
Halsteds,9.82E+14,777329,682,M,SW shore,
,,,,,,
Halsteds,9.82E+14,777269,386,M,SW shore,
,,,,,,
Halsteds,9.82E+14,777367,386,F,SW shore,
,,,,,,
Halsteds,9.82E+14,777347,640,M,SW shore,
,,,,,,
Halsteds,9.82E+14,777400,634,M,SW shore,
,,,,,,
Halsteds,9.82E+14,777449,755,F,SW shore,
,,,,,,
Halsteds,9.82E+14,777294,755,M,SW shore,
,,,,,,
Halsteds,9.82E+14,777264,745,F,SW shore,
,,,,,,
Halsteds,9.82E+14,777366,740,F,SW shore,
,,,,,,
Halsteds,9.82E+14,777379,665,M,SW shore,
,,,,,,
Halsteds,9.82E+14,777442,670,M,SW shore,
,,,,,,
Halsteds,9.82E+14,777251,670,M,SW shore,
,,,,,,
