PIT,count,forage_activity_rank,prop_forager,cum_visits,one_to_one
497690,1350,79,0.738317757009346,0.240030882874611,0.738317757009346
775170,1415,80,0.747663551401869,0.25479414894727,0.747663551401869
497627,1506,81,0.757009345794393,0.270506854746155,0.757009345794393
038335,1584,82,0.766355140186916,0.287033366024665,0.766355140186916
038355,1584,83,0.775700934579439,0.303559877303174,0.775700934579439
775213,1584,84,0.785046728971963,0.320086388581683,0.785046728971963
038315,1632,85,0.794392523364486,0.337113703232268,0.794392523364486
775239,1670,86,0.803738317757009,0.354537487219081,0.803738317757009
038393,1736,87,0.813084112149533,0.372649875842497,0.813084112149533
038369,1904,88,0.822429906542056,0.39251507626818,0.822429906542056
775215,1929,89,0.831775700934579,0.412641111783486,0.831775700934579
038381,1933,90,0.841121495327103,0.432808880913132,0.841121495327103
775241,2000,91,0.850467289719626,0.453675688082966,0.850467289719626
038301,2148,92,0.85981308411215,0.476086638983369,0.85981308411215
497871,2148,93,0.869158878504673,0.498497589883772,0.869158878504673
497693,2181,94,0.878504672897196,0.521252843102477,0.878504672897196
497639,2200,95,0.88785046728972,0.544206330989295,0.88785046728972
775173,2312,96,0.897196261682243,0.568328360077625,0.897196261682243
775172,2370,97,0.906542056074766,0.593055526573879,0.906542056074766
497661,2645,98,0.91588785046729,0.620651879055986,0.91588785046729
775217,2793,99,0.925233644859813,0.64979237526866,0.925233644859813
497631,2994,100,0.934579439252336,0.681029985601903,0.934579439252336
497849,3297,101,0.94392523364486,0.715428917221376,0.94392523364486
497641,3525,102,0.953271028037383,0.75220666485821,0.953271028037383
497601,4162,103,0.962616822429906,0.795630490578637,0.962616822429906
497877,4238,104,0.97196261682243,0.839847254971517,0.97196261682243
497600,4271,105,0.981308411214953,0.884408321682699,0.981308411214953
497630,4335,106,0.990654205607477,0.929637126223317,0.990654205607477
775194,6744,107,1,1,1
