fishID,nvisit,forage_activity_rank,prop_forager,cum_visits,one_to_one
497894,8,76,0.571428571428571,0.185800604229607,0.571428571428571
38314,9,77,0.578947368421053,0.192598187311178,0.578947368421053
38339,9,78,0.586466165413534,0.199395770392749,0.586466165413534
38355,9,79,0.593984962406015,0.20619335347432,0.593984962406015
497604,9,80,0.601503759398496,0.212990936555891,0.601503759398496
497778,9,81,0.609022556390977,0.219788519637462,0.609022556390977
38398,10,82,0.616541353383459,0.227341389728097,0.616541353383459
38389,11,83,0.62406015037594,0.235649546827795,0.62406015037594
497653,11,84,0.631578947368421,0.243957703927492,0.631578947368421
38305,12,85,0.639097744360902,0.253021148036254,0.639097744360902
497633,12,86,0.646616541353383,0.262084592145015,0.646616541353383
497826,12,87,0.654135338345865,0.271148036253776,0.654135338345865
38357,13,88,0.661654135338346,0.280966767371601,0.661654135338346
497697,13,89,0.669172932330827,0.290785498489426,0.669172932330827
38320,14,90,0.676691729323308,0.301359516616314,0.676691729323308
38372,14,91,0.68421052631579,0.311933534743202,0.68421052631579
497651,14,92,0.691729323308271,0.322507552870091,0.691729323308271
497681,14,93,0.699248120300752,0.333081570996979,0.699248120300752
775217,14,94,0.706766917293233,0.343655589123867,0.706766917293233
497666,15,95,0.714285714285714,0.354984894259819,0.714285714285714
497673,15,96,0.721804511278195,0.36631419939577,0.721804511278195
775186,15,97,0.729323308270677,0.377643504531722,0.729323308270677
38316,16,98,0.736842105263158,0.389728096676737,0.736842105263158
38364,16,99,0.744360902255639,0.401812688821752,0.744360902255639
497892,16,100,0.75187969924812,0.413897280966767,0.75187969924812
497637,17,101,0.759398496240602,0.426737160120846,0.759398496240602
497764,17,102,0.766917293233083,0.439577039274924,0.766917293233083
497827,17,103,0.774436090225564,0.452416918429003,0.774436090225564
497631,18,104,0.781954887218045,0.466012084592145,0.781954887218045
775170,18,105,0.789473684210526,0.479607250755287,0.789473684210526
497601,19,106,0.796992481203008,0.493957703927493,0.796992481203008
497815,19,107,0.804511278195489,0.508308157099698,0.804511278195489
497862,19,108,0.81203007518797,0.522658610271903,0.81203007518797
497869,19,109,0.819548872180451,0.537009063444109,0.819548872180451
497891,19,110,0.827067669172932,0.551359516616314,0.827067669172932
775204,19,111,0.834586466165414,0.56570996978852,0.834586466165414
775219,19,112,0.842105263157895,0.580060422960725,0.842105263157895
775222,19,113,0.849624060150376,0.594410876132931,0.849624060150376
775241,19,114,0.857142857142857,0.608761329305136,0.857142857142857
497608,20,115,0.864661654135338,0.623867069486405,0.864661654135338
775239,20,116,0.87218045112782,0.638972809667674,0.87218045112782
38368,21,117,0.879699248120301,0.654833836858006,0.879699248120301
38397,21,118,0.887218045112782,0.670694864048338,0.887218045112782
497645,21,119,0.894736842105263,0.686555891238671,0.894736842105263
497686,21,120,0.902255639097744,0.702416918429003,0.902255639097744
775194,24,121,0.909774436090226,0.720543806646526,0.909774436090226
497672,25,122,0.917293233082707,0.739425981873112,0.917293233082707
497896,25,123,0.924812030075188,0.758308157099698,0.924812030075188
497771,27,124,0.932330827067669,0.778700906344411,0.932330827067669
497890,28,125,0.93984962406015,0.799848942598187,0.93984962406015
775203,28,126,0.947368421052632,0.820996978851964,0.947368421052632
775215,29,127,0.954887218045113,0.842900302114804,0.954887218045113
497871,32,128,0.962406015037594,0.867069486404834,0.962406015037594
497690,33,129,0.969924812030075,0.891993957703928,0.969924812030075
497649,34,130,0.977443609022556,0.917673716012085,0.977443609022556
497661,36,131,0.984962406015038,0.944864048338369,0.984962406015038
775172,36,132,0.992481203007519,0.972054380664652,0.992481203007519
497766,37,133,1,1,1
